"","Subject","RunNumber","CrossValidatedPredictionForRun"
"1",1,0,88.2352941176471
"2",1,1,82.3529411764706
"3",1,2,100
"4",1,3,94.1176470588235
"5",1,4,100
"6",1,5,100
"7",1,6,94.1176470588235
"8",1,7,94.1176470588235
"9",1,8,94.1176470588235
"10",1,9,88.2352941176471
"11",1,10,100
"12",1,11,88.2352941176471
"13",2,0,88.2352941176471
"14",2,1,88.2352941176471
"15",2,2,82.3529411764706
"16",2,3,76.4705882352941
"17",2,4,82.3529411764706
"18",2,5,88.2352941176471
"19",2,6,82.3529411764706
"20",2,7,76.4705882352941
"21",2,8,82.3529411764706
"22",2,9,88.2352941176471
"23",2,10,76.4705882352941
"24",2,11,94.1176470588235
"25",3,0,70.5882352941177
"26",3,1,70.5882352941177
"27",3,2,82.3529411764706
"28",3,3,64.7058823529412
"29",3,4,58.8235294117647
"30",3,5,76.4705882352941
"31",3,6,70.5882352941177
"32",3,7,64.7058823529412
"33",3,8,58.8235294117647
"34",3,9,58.8235294117647
"35",3,10,70.5882352941177
"36",3,11,52.9411764705882
"37",4,0,76.4705882352941
"38",4,1,82.3529411764706
"39",4,2,82.3529411764706
"40",4,3,82.3529411764706
"41",4,4,70.5882352941177
"42",4,5,70.5882352941177
"43",4,6,88.2352941176471
"44",4,7,76.4705882352941
"45",4,8,88.2352941176471
"46",4,9,94.1176470588235
"47",4,10,70.5882352941177
"48",4,11,76.4705882352941
"49",5,0,94.1176470588235
"50",5,1,100
"51",5,2,88.2352941176471
"52",5,3,76.4705882352941
"53",5,4,82.3529411764706
"54",5,5,64.7058823529412
"55",5,6,76.4705882352941
"56",5,7,94.1176470588235
"57",5,8,88.2352941176471
"58",5,9,88.2352941176471
"59",5,10,70.5882352941177
"60",6,0,70.5882352941177
"61",6,1,64.7058823529412
"62",6,2,76.4705882352941
"63",6,3,88.2352941176471
"64",6,4,82.3529411764706
"65",6,5,70.5882352941177
"66",6,6,64.7058823529412
"67",6,7,70.5882352941177
"68",6,8,58.8235294117647
"69",6,9,64.7058823529412
"70",6,10,76.4705882352941
"71",6,11,64.7058823529412
